            Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3401.0.55.004 Overseas Travel Statistics, Provisional",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Total Movement, Arrivals and Departures - Country of Citizenship(a)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Released at 11.30 am (Canberra time) 15 December 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 1.2 Total Movement, Departures by Country of Citizenship(a), Sep-2016 to Nov-2020(b)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SACC code(a),Country of citizenship(a),Sep-2016,Oct-2016,Nov-2016,Dec-2016,Jan-2017,Feb-2017,Mar-2017,Apr-2017,May-2017,Jun-2017,Jul-2017,Aug-2017,Sep-2017,Oct-2017,Nov-2017,Dec-2017,Jan-2018,Feb-2018,Mar-2018,Apr-2018,May-2018,Jun-2018,Jul-2018,Aug-2018,Sep-2018,Oct-2018,Nov-2018,Dec-2018,Jan-2019,Feb-2019,Mar-2019,Apr-2019,May-2019,Jun-2019,Jul-2019,Aug-2019,Sep-2019,Oct-2019,Nov-2019,Dec-2019,Jan-2020,Feb-2020,Mar-2020,Apr-2020,May-2020,Jun-2020,Jul-2020,Aug-2020,Sep-2020,Oct-2020,Nov-2020,
1403,Marshall Islands,10 ,10 ,10 ,10 ,0 ,0 ,0 ,10 ,20 ,0 ,10 ,10 ,10 ,10 ,10 ,10 ,0 ,10 ,10 ,10 ,10 ,10 ,0 ,20 ,0 ,10 ,10 ,10 ,0 ,10 ,10 ,10 ,10 ,10 ,10 ,10 ,10 ,10 ,10 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,
1404,Micronesia Federated States of,10 ,10 ,10 ,20 ,0 ,10 ,10 ,20 ,20 ,20 ,10 ,20 ,20 ,20 ,20 ,10 ,10 ,10 ,10 ,10 ,10 ,20 ,10 ,40 ,10 ,20 ,20 ,20 ,10 ,10 ,10 ,10 ,20 ,20 ,10 ,10 ,10 ,10 ,40 ,10 ,10 ,10 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,
1405,Nauru,400 ,420 ,390 ,390 ,250 ,220 ,270 ,280 ,300 ,310 ,370 ,410 ,410 ,450 ,350 ,450 ,420 ,170 ,230 ,520 ,440 ,340 ,440 ,430 ,410 ,480 ,510 ,500 ,380 ,240 ,340 ,400 ,320 ,380 ,420 ,510 ,520 ,570 ,500 ,490 ,440 ,360 ,190 ,40 ,30 ,20 ,0 ,10 ,30 ,20,20,
1406,N Mariana Island,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,
1407,Palau,0 ,0 ,10 ,10 ,0 ,0 ,10 ,10 ,10 ,0 ,0 ,10 ,10 ,10 ,10 ,10 ,0 ,10 ,0 ,10 ,10 ,10 ,0 ,20 ,10 ,0 ,10 ,10 ,0 ,10 ,20 ,10 ,10 ,10 ,10 ,10 ,10 ,10 ,30 ,10 ,0 ,10 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,
1501,Cook Islands,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,
1502,Fiji,"2,720 ","3,350 ","3,020 ","4,720 ","6,390 ","3,630 ","3,270 ","3,880 ","3,570 ","3,030 ","3,310 ","3,200 ","3,220 ","3,870 ","3,560 ","4,870 ","6,740 ","3,510 ","3,770 ","4,510 ","3,800 ","3,510 ","3,570 ","3,350 ","3,510 ","3,780 ","3,640 ","5,260 ","7,040 ","3,710 ","4,130 ","4,280 ","3,920 ","3,710 ","3,630 ","3,830 ","3,560 ","4,060 ","3,900 ","5,360 ","6,360 ","3,820 ","2,780 ",220 ,120 ,10 ,60 ,40 ,70 ,210,110,
1503,French Polynesia,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,
1504,Niue,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,
1505,Samoa,460 ,470 ,500 ,500 ,740 ,480 ,490 ,370 ,470 ,400 ,510 ,460 ,480 ,530 ,550 ,650 ,850 ,400 ,480 ,570 ,590 ,540 ,530 ,610 ,620 ,640 ,660 ,740 ,920 ,580 ,640 ,510 ,670 ,570 ,610 ,590 ,570 ,690 ,680 ,680 ,830 ,610 ,420 ,0 ,0 ,10 ,0 ,0 ,0 ,220,40,
1506,Samoa American,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,
1507,Tokelau,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,
1508,Tonga,"1,010 ","1,190 ","1,380 ","1,390 ","1,050 ",750 ,760 ,890 ,"1,440 ",990 ,960 ,990 ,"1,300 ","1,420 ","1,420 ","1,570 ","1,320 ",880 ,870 ,"1,170 ","1,480 ","1,280 ","1,210 ","1,250 ","1,440 ","1,600 ","1,450 ","1,810 ","1,470 ",900 ,"1,000 ","1,270 ","1,900 ","1,480 ","1,220 ",980 ,"1,320 ","1,550 ","1,580 ","1,760 ","1,630 ","1,050 ",720 ,0 ,0 ,10 ,10 ,0 ,10 ,70,110,
1511,Tuvalu,20 ,20 ,70 ,40 ,10 ,20 ,20 ,20 ,50 ,20 ,40 ,20 ,20 ,40 ,50 ,40 ,20 ,20 ,50 ,40 ,20 ,40 ,30 ,40 ,40 ,30 ,40 ,40 ,20 ,20 ,50 ,40 ,30 ,30 ,50 ,20 ,30 ,30 ,80 ,70 ,20 ,40 ,10 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,
1512,Wallis/Futuna,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,
1513,Pitcairn Island,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,
1599,"Polynesia, nec",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,
1601,Adelie Land,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,
1602,Argentinian A T,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,
1603,Australian A T,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,
1604,British A T,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,
1605,Chilean A T,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,
1606,Queen Maud Land (Norway),0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,
1607,Ross Dependency,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,
2100,United Kingdom Channel Islands and Isle of Man,"59,440 ","72,150 ","86,440 ","93,680 ","128,240 ","96,870 ","111,780 ","106,460 ","65,900 ","57,840 ","62,880 ","69,540 ","58,060 ","69,510 ","87,540 ","102,840 ","139,370 ","97,340 ","112,600 ","109,080 ","65,280 ","55,630 ","60,320 ","71,470 ","58,220 ","70,780 ","86,580 ","93,290 ","126,890 ","94,160 ","109,120 ","101,420 ","68,600 ","54,630 ","58,750 ","69,190 ","55,410 ","69,920 ","85,520 ","91,870 ","123,640 ","91,390 ","88,900 ","10,120 ","3,380 ","2,820 ","3,640 ","3,010 ","1,840 ","1,320","1,120",
2201,Ireland,"7,440 ","7,450 ","8,520 ","14,040 ","12,870 ","7,780 ","9,460 ","10,740 ","7,560 ","8,340 ","9,230 ","9,150 ","7,120 ","7,390 ","8,250 ","13,460 ","13,310 ","7,760 ","10,380 ","10,420 ","7,710 ","7,970 ","9,170 ","9,430 ","7,030 ","7,720 ","9,120 ","13,880 ","13,940 ","8,060 ","10,310 ","10,890 ","8,470 ","7,480 ","8,970 ","8,970 ","7,190 ","7,930 ","8,960 ","13,970 ","14,310 ","8,600 ","8,900 ","1,310 ",530 ,420 ,710 ,600 ,360 ,240,250,
2301,Austria,"1,670 ","1,720 ","2,260 ","2,020 ","3,400 ","2,470 ","2,500 ","1,970 ","1,420 ","1,250 ","1,480 ","1,940 ","1,630 ","1,680 ","2,350 ","2,280 ","3,520 ","2,460 ","2,760 ","1,970 ","1,500 ","1,250 ","1,520 ","1,990 ","1,600 ","1,620 ","2,240 ","2,340 ","3,360 ","2,430 ","2,620 ","1,800 ","1,470 ","1,200 ","1,630 ","2,120 ","1,360 ","1,730 ","2,090 ","2,060 ","3,500 ","2,210 ","2,420 ",110 ,40 ,70 ,90 ,60 ,30 ,30,20,
2302,Belgium,"1,610 ","1,950 ","2,290 ","2,270 ","3,120 ","2,130 ","2,300 ","2,220 ","1,670 ","1,640 ","2,040 ","2,320 ","1,710 ","1,830 ","2,260 ","2,290 ","3,000 ","2,290 ","2,380 ","2,270 ","1,750 ","1,590 ","2,090 ","2,460 ","1,680 ","2,050 ","2,470 ","2,370 ","2,990 ","2,300 ","2,400 ","2,340 ","1,860 ","1,720 ","2,240 ","2,460 ","1,620 ","1,930 ","2,590 ","2,350 ","3,010 ","2,200 ","2,180 ",430 ,100 ,150 ,180 ,140 ,60 ,60,40,
2303,France,"12,570 ","15,570 ","17,100 ","20,350 ","26,530 ","19,850 ","20,320 ","18,060 ","14,740 ","14,590 ","16,440 ","22,780 ","12,920 ","15,920 ","18,080 ","20,020 ","27,690 ","20,290 ","22,050 ","18,200 ","17,040 ","15,840 ","17,270 ","23,870 ","14,010 ","16,000 ","18,420 ","20,590 ","27,830 ","21,550 ","23,200 ","18,590 ","16,680 ","17,010 ","17,570 ","24,040 ","14,000 ","17,340 ","20,380 ","21,130 ","27,690 ","21,350 ","18,140 ","4,570 ","1,100 ","1,230 ","1,890 ","1,400 ",820 ,610,440,
2304,Germany,"16,070 ","18,320 ","22,260 ","21,510 ","33,310 ","23,480 ","30,290 ","25,580 ","18,250 ","15,360 ","15,770 ","18,260 ","15,540 ","17,850 ","22,880 ","22,230 ","32,260 ","24,970 ","30,170 ","24,790 ","18,260 ","15,200 ","16,360 ","18,130 ","15,690 ","18,120 ","22,540 ","24,410 ","33,280 ","26,140 ","30,400 ","23,680 ","18,000 ","14,520 ","16,030 ","17,500 ","14,960 ","17,760 ","21,960 ","21,650 ","34,530 ","21,990 ","27,290 ","7,040 ","1,200 ",990 ,"1,440 ",990 ,530 ,360,230,
2305,Liechtenstein,0 ,10 ,20 ,20 ,40 ,20 ,20 ,20 ,10 ,10 ,20 ,10 ,10 ,10 ,20 ,10 ,40 ,20 ,20 ,20 ,10 ,10 ,10 ,10 ,10 ,0 ,20 ,10 ,40 ,20 ,20 ,20 ,10 ,10 ,10 ,10 ,10 ,10 ,10 ,10 ,40 ,10 ,20 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,
2306,Luxembourg,90 ,50 ,60 ,110 ,140 ,70 ,90 ,100 ,40 ,50 ,50 ,160 ,150 ,80 ,80 ,130 ,110 ,100 ,100 ,90 ,60 ,50 ,70 ,160 ,100 ,60 ,120 ,80 ,150 ,100 ,140 ,110 ,60 ,50 ,80 ,170 ,100 ,90 ,120 ,100 ,170 ,90 ,100 ,10 ,0 ,0 ,0 ,0 ,0 ,0,0,
2307,Monaco,10 ,0 ,0 ,0 ,10 ,10 ,10 ,10 ,0 ,0 ,10 ,0 ,10 ,10 ,0 ,10 ,10 ,0 ,20 ,0 ,0 ,0 ,10 ,10 ,10 ,0 ,10 ,10 ,0 ,0 ,10 ,10 ,0 ,0 ,10 ,10 ,0 ,0 ,0 ,10 ,0 ,10 ,10 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,
2308,Netherlands,"5,250 ","6,770 ","8,480 ","8,060 ","12,000 ","7,500 ","8,790 ","7,510 ","6,560 ","5,530 ","5,970 ","9,810 ","5,360 ","7,030 ","8,280 ","8,360 ","11,790 ","7,710 ","9,150 ","7,440 ","6,980 ","5,850 ","5,950 ","10,270 ","5,670 ","7,060 ","8,960 ","8,950 ","12,020 ","8,010 ","9,430 ","7,910 ","7,080 ","5,890 ","6,400 ","9,910 ","5,020 ","7,200 ","9,280 ","8,570 ","11,350 ","7,410 ","7,880 ","1,590 ",310 ,280 ,430 ,380 ,170 ,150,100,
2311,Switzerland,"2,140 ","3,330 ","4,460 ","4,860 ","7,860 ","5,490 ","5,750 ","5,070 ","3,030 ","2,420 ","2,720 ","3,680 ","2,130 ","3,330 ","4,470 ","4,900 ","8,370 ","5,670 ","5,370 ","4,470 ","3,010 ","2,320 ","2,680 ","3,840 ","2,320 ","3,480 ","4,310 ","4,880 ","8,330 ","5,290 ","5,540 ","4,400 ","3,150 ","2,230 ","2,680 ","3,540 ","1,960 ","3,150 ","4,140 ","4,590 ","7,340 ","4,820 ","5,400 ",730 ,130 ,170 ,230 ,80 ,60 ,30,30,
2401,Denmark,"1,590 ","2,290 ","2,990 ","3,370 ","5,300 ","4,040 ","3,810 ","3,050 ","2,190 ","1,740 ","2,520 ","1,890 ","1,350 ","2,190 ","3,180 ","3,400 ","5,440 ","4,000 ","3,920 ","3,300 ","2,130 ","1,990 ","2,340 ","2,130 ","1,520 ","2,550 ","3,100 ","3,270 ","5,900 ","3,940 ","3,990 ","3,140 ","2,220 ","1,870 ","2,320 ","1,880 ","1,440 ","2,320 ","3,210 ","3,390 ","5,640 ","3,920 ","3,650 ",270 ,130 ,160 ,220 ,90 ,40 ,30,50,
2402,Faroe Islands,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,
2403,Finland,820 ,"1,150 ","1,810 ","2,010 ","3,270 ","1,890 ","2,060 ","1,480 ","1,220 ","1,100 ","1,220 ",780 ,790 ,"1,340 ","1,790 ","2,100 ","3,590 ","1,990 ","2,190 ","1,600 ","1,060 ","1,120 ","1,330 ",790 ,840 ,"1,300 ","1,870 ","2,190 ","3,580 ","1,990 ","2,180 ","1,380 ","1,190 ","1,150 ","1,150 ",830 ,810 ,"1,210 ","1,740 ","2,110 ","3,410 ","1,790 ","1,690 ",240 ,80 ,90 ,120 ,60 ,30 ,40,30,
2404,Greenland,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,
2405,Iceland,40 ,80 ,90 ,90 ,190 ,100 ,130 ,150 ,100 ,90 ,130 ,60 ,50 ,130 ,130 ,120 ,200 ,140 ,190 ,140 ,70 ,110 ,90 ,70 ,80 ,140 ,140 ,120 ,190 ,130 ,160 ,160 ,110 ,100 ,80 ,80 ,60 ,130 ,120 ,120 ,180 ,130 ,110 ,20 ,0 ,10 ,10 ,0 ,0 ,0,0,
2406,Norway,990 ,"1,430 ","2,300 ","2,380 ","3,770 ","2,150 ","2,350 ","2,570 ","1,250 ","1,770 ","2,090 ","1,330 ","1,080 ","1,590 ","2,330 ","2,490 ","3,860 ","2,030 ","2,890 ","2,600 ","1,360 ","1,840 ","2,260 ","1,280 ","1,160 ","1,770 ","2,470 ","2,480 ","4,230 ","2,250 ","2,390 ","2,450 ","1,420 ","1,740 ","2,040 ","1,190 ",970 ,"1,660 ","2,420 ","2,510 ","4,290 ","2,120 ","2,550 ",310 ,90 ,150 ,160 ,50 ,30 ,30,50,
